constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,Con_pc,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment
Sevenoaks,18270.0,0.0,0.0,0.0,0.0,4702.0,0.0,0.0,0.0,0.0,0.517140157,431,443,460,417,501,219,185,327,
Sheffield Central,5000.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.250786592,252,334,441,321,159,162,290,55,
Sheffield Hallam,31570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422269789,526,525,510,530,364,423,478,429,
Sheffield Heeley,65308.33,0.0,0.0,0.0,0.0,1580.0,0.0,0.0,0.0,0.0,0.396617804,48,44,42,40,74,54,409,291,
Sheffield South East,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.414760226,116,113,111,51,97,121,377,385,
Sherwood Forest,23000.0,0.0,835.63,21166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462635388,248,249,161,119,198,316,396,485,
Shipley,44000.0,0.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463375829,288,339,294,365,197,108,491,136,
Shrewsbury,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506707421,339,327,308,320,314,393,303,262,
Sittingbourne and Sheppey,0.0,0.0,1198.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46762348,111,130,116,32,167,89,250,324,
Skipton and Ripon,17500.010000000002,0.0,0.0,0.0,0.0,1125.0,0.0,0.0,0.0,0.0,0.559584324,429,486,456,438,425,525,233,91,
Sleaford and North Hykeham,0.0,0.0,713.4,25203.6,0.0,700.0,0.0,0.0,0.0,0.0,0.534317948,448,402,357,403,418,533,310,417,
Slough,41500.0,0.0,0.0,0.0,0.0,895.0,0.0,0.0,0.0,0.0,0.311534407,209,228,324,260,215,126,21,221,
Smethwick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357787545,53,31,79,65,88,198,297,20,
Solihull West and Shirley,4133.92,0.0,38606.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499090535,469,454,444,480,383,370,315,383,
South Basildon and East Thurrock,0.0,0.0,2136.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.480313409,206,211,211,61,281,120,251,432,
South Cambridgeshire,51698.96,0.0,0.0,1574.5,0.0,600.0,0.0,0.0,0.0,0.0,0.458403233,509,515,507,509,512,450,131,359,
South Cotswolds,44816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538608017,480,493,505,460,476,519,91,257,
South Derbyshire,75500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473402288,372,385,349,230,290,443,314,290,
South Devon,53709.0,0.0,0.0,0.0,0.0,1552.86,0.0,0.0,0.0,0.0,0.474550667,278,242,208,349,323,467,224,163,
South Dorset,1932.0,0.0,0.0,4098.780000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.484236934,227,257,170,174,155,377,195,306,
South East Cornwall,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485514815,233,258,212,312,219,471,138,44,
South Holland and The Deepings,22100.0,0.0,0.0,121713.6,0.0,0.0,0.0,0.0,0.0,0.0,0.580698197,329,331,313,106,331,494,214,424,
South Leicestershire,11987.8,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.478386792,511,496,489,375,463,433,455,482,
South Norfolk,2610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.461511032,457,444,440,410,453,515,172,279,
South Northamptonshire,7200.0,0.0,4825.59,0.0,0.0,3636.0,0.0,0.0,0.0,0.0,0.503224663,525,526,524,451,499,473,328,434,
South Ribble,22000.0,0.0,0.0,2261.26,0.0,0.0,0.0,0.0,0.0,0.0,0.627341259,392,383,335,401,248,373,506,247,
South Shields,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512210782,84,51,23,158,59,149,445,524,
South Shropshire,22360.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0,0.588355486,309,381,387,356,403,482,49,27,
South West Devon,17000.0,0.0,0.0,2260.0,0.0,1949.95,0.0,0.0,0.0,0.0,0.497762425,463,466,390,468,302,526,366,282,
South West Hertfordshire,18984.13,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.477452831,495,463,484,433,513,390,258,496,
South West Norfolk,0.0,0.0,303.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499237084,226,289,255,49,199,432,132,250,
South West Wiltshire,2000.0,0.0,8171.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.483608079,336,343,312,231,391,332,174,355,
Southampton Itchen,27705.85,0.0,0.0,3037.37,0.0,0.0,0.0,0.0,0.0,0.0,0.404066836,136,190,230,129,105,24,348,98,
Southampton Test,35000.0,0.0,0.0,32437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401427628,123,191,238,156,109,10,335,70,
